Overall Time cost(in secs.): 0.5441009998321533
Size of RS-repair: 265
Distribution of Representative Column : {'2': 53, '1': 212}
Time cost of PostClean(in secs.): 0.005146503448486328
RAC1P SEX REGION ST CIT  NATIVITY DIS DIVISION RAC2P POBP WAOB    ID
    1   1      3 48   1         1   2        7     1   48    1 29635
    1   1      3 48   1         1   1        7     1   12    1 28579
    2   2      3 48   1         1   1        7     2   22    1 28046
    1   2      3 48   1         1   2        7     1   36    1 27510
    1   2      3 48   1         1   2        7     1   40    1 27667
    2   1      3 48   1         1   2        7     2    6    1 29290
    1   1      3 48   1         1   2        7     1   48    1 29111
    1   2      3 48   1         1   2        7     1   48    1 27279
    9   2      3 48   1         1   2        7    68   48    1 28439
    9   2      3 48   1         1   2        7    68   48    1 27185
    2   1      3 48   1         1   2        7     2   51    1 28793
    1   2      3 48   1         1   2        7     1   48    1 28015
    1   1      3 48   1         1   2        7     1   48    1 29008
    1   2      3 48   1         1   1        7     1   26    1 28435
    8   2      3 48   1         1   2        7    67   48    1 29322
    1   2      3 48   1         1   2        7     1   48    1 28721
    1   2      3 48   1         1   2        7     1   48    1 28745
    9   1      3 48   1         1   2        7    68   48    1 28951
    1   1      3 48   1         1   2        7     1   48    1 27506
    9   1      3 48   1         1   2        7    68   48    1 28830
    1   1      3 48   1         1   2        7     1   49    1 28958
    6   2      1 25   1         1   2        1    43   25    1 14465
    1   2      1 25   1         1   2        1     1   24    1 14609
    1   2      1 25   1         1   2        1     1   25    1 14149
    1   1      1 25   1         1   2        1     1   42    1 14480
    1   2      1 25   1         1   2        1     1    6    1 14468
    1   1      1 25   1         1   2        1     1   25    1 14580
    1   2      1 25   1         1   2        1     1   25    1 14336
    1   1      3 12   1         1   1        5     1   36    1  8259
    1   2      3 12   1         1   2        5     1   17    1  6752
    1   2      3 12   1         1   2        5     1   39    1  6920
    1   2      3 12   1         1   2        5     1   12    1  7704
    9   1      3 12   1         1   2        5    68   12    1  7203
    1   1      3 12   1         1   2        5     1   12    1  7491
    1   1      3 12   1         1   1        5     1   55    1  6868
    2   2      3 12   1         1   2        5     2   20    1  7330
    1   1      3 12   1         1   2        5     1   12    1  7219
    1   2      3 12   1         1   1        5     1   45    1  6919
    1   1      3 12   1         1   1        5     1   48    1  8043
    1   2      3 12   1         1   2        5     1   12    1  7729
    1   1      3 12   1         1   2        5     1   13    1  6568
    9   1      3 12   1         1   1        5    68   54    1  7443
    8   1      3 12   1         1   1        5    67   18    1  6899
    1   1      3 12   1         1   2        5     1   12    1  7773
    1   1      3 12   1         1   2        5     1   25    1  6810
    1   2      3 12   1         1   1        5     1   24    1  7506
    1   1      3 12   1         1   2        5     1   39    1  8011
    1   2      3 12   1         1   1        5     1   12    1  6829
    1   2      3 12   1         1   2        5     1   12    1  8293
    1   2      3 12   1         1   2        5     1   22    1  8355
    1   1      3 12   1         1   2        5     1   17    1  6725
    1   2      4 32   1         1   2        8     1   40    1 17630
    1   2      4 32   1         1   2        8     1   55    1 17718
    8   2      4 32   1         1   2        8    67   32    1 17820
    1   1      3 24   1         1   2        5     1   24    1 13942
    1   1      3 24   1         1   2        5     1   17    1 13828
    6   2      3 24   1         1   2        5    43   24    1 13877
    1   2      3 24   1         1   2        5     1   36    1 13956
    1   1      3 24   1         1   2        5     1   11    1 14040
    1   1      3 24   1         1   2        5     1   26    1 13598
    1   1      3 24   1         1   2        5     1   27    1 13627
    1   2      1  9   1         1   2        1     1    9    1  6237
    1   1      1  9   1         1   2        1     1   45    1  6122
    1   1      1  9   1         1   2        1     1    9    1  6381
