Overall Time cost(in secs.): 1.171804428100586
Size of RS-repair: 275
Distribution of Representative Column : {'2': 55, '1': 220}
Time cost of PostClean(in secs.): 0.003715038299560547
RAC1P SEX REGION ST CIT  NATIVITY DIS DIVISION RAC2P POBP WAOB    ID
    1   1      1 34   1         1   2        2     1   34    1 18132
    1   1      1 34   1         1   2        2     1   13    1 18172
    1   2      3  1   1         1   2        6     1   13    1    97
    1   1      3 12   1         1   2        5     1   13    1  6568
    1   1      3 13   1         1   1        5     1   13    1  8570
    1   1      3 13   1         1   2        5     1   13    1  9502
    1   2      3 13   1         1   1        5     1   13    1  9132
    1   1      3 13   1         1   2        5     1   13    1  8814
    2   2      3 13   1         1   2        5     2   13    1  9398
    2   2      3 13   1         1   2        5     2   13    1  9174
    1   1      3 48   1         1   2        7     1   48    1 27688
    1   2      3 48   1         1   2        7     1   48    1 27328
    1   1      3 48   1         1   2        7     1   48    1 29635
    1   1      3 48   1         1   2        7     1   48    1 29111
    1   2      3 48   1         1   2        7     1   48    1 27279
    1   2      3 48   1         1   2        7     1   48    1 28015
    1   1      3 48   1         1   2        7     1   48    1 29008
    1   2      3 48   1         1   2        7     1   48    1 28721
    1   2      3 48   1         1   2        7     1   48    1 28745
    1   1      3 48   1         1   2        7     1   48    1 27506
    1   1      3 12   1         1   1        5     1   48    1  8043
    8   2      3 48   1         1   2        7    67   48    1 29322
    9   2      3 48   1         1   2        7    68   48    1 27732
    9   2      3 48   1         1   2        7    68   48    1 28439
    9   2      3 48   1         1   2        7    68   48    1 27185
    9   1      3 48   1         1   2        7    68   48    1 28951
    9   1      3 48   1         1   2        7    68   48    1 28830
    9   1      4  6   1         1   2        9    68   48    1  4359
    1   2      3 48   1         1   2        7     1    1    1 28112
    1   1      3 48   1         1   1        7     1   12    1 28579
    1   2      3 12   1         1   2        5     1   12    1  7704
    1   1      3 12   1         1   2        5     1   12    1  7491
    1   1      3 12   1         1   2        5     1   12    1  7219
    1   2      3 12   1         1   2        5     1   12    1  7729
    1   1      3 12   1         1   2        5     1   12    1  7773
    1   2      3 12   1         1   1        5     1   12    1  6829
    1   2      3 12   1         1   2        5     1   12    1  8293
    2   2      3 13   1         1   1        5     2   12    1  9256
    9   1      3 12   1         1   2        5    68   12    1  7203
    1   2      3 48   1         1   2        7     1   40    1 27667
    1   2      4 32   1         1   2        8     1   40    1 17630
    1   2      3 48   1         1   1        7     1   26    1 28435
    1   2      4  6   1         1   2        9     1   26    1  2405
    1   1      3 24   1         1   2        5     1   26    1 13598
    1   1      3 51   1         1   1        5     1   26    1 30565
    1   1      3 48   1         1   2        7     1   49    1 28958
    1   1      4 49   1         1   2        8     1   49    1 29736
    1   2      4 49   1         1   2        8     1   49    1 29817
    1   1      4 49   1         1   2        8     1   49    1 29654
    1   1      4 49   1         1   2        8     1   49    1 29825
    1   2      3  5   1         1   2        7     1   35    1  1504
    1   2      4 35   1         1   1        8     1   35    1 19064
    1   2      4 35   1         1   2        8     1   35    1 19078
    1   2      3  5   1         1   2        7     1    5    1  1546
    1   1      3  5   1         1   2        7     1    5    1  1545
    1   2      3  5   1         1   2        7     1    5    1  1596
    1   2      3  5   1         1   2        7     1    5    1  1331
    1   2      3 22   1         1   1        7     1    5    1 13098
    9   1      3  5   1         1   2        7    68    5    1  1606
    1   2      3 22   1         1   1        7     1   22    1 13323
    1   1      3 22   1         1   1        7     1   22    1 13055
    1   2      3 22   1         1   2        7     1   22    1 13335
    1   2      3 22   1         1   2        7     1   22    1 13197
    1   2      3 12   1         1   2        5     1   22    1  8355
    2   2      3 48   1         1   1        7     2   22    1 28046
    2   2      3 22   1         1   2        7     2   22    1 13014
    2   1      3 13   1         1   2        5     2   22    1  9445
    1   2      3 22   1         1   1        7     1   28    1 13045
    1   2      3 28   1         1   2        6     1   28    1 16520
    2   2      3 45   1         1   2        5     2   28    1 25908
    1   1      4  6   1         1   2        9     1   18    1  2104
    8   1      3 12   1         1   1        5    67   18    1  6899
    1   1      4  6   1         1   2        9     1   20    1  3770
    1   2      3 45   1         1   2        5     1   20    1 26036
    2   2      3 12   1         1   2        5     2   20    1  7330
    1   1      4  6   1         1   1        9     1   25    1  4861
    1   2      1 25   1         1   2        1     1   25    1 14149
    1   1      1 25   1         1   2        1     1   25    1 14580
    1   2      1 25   1         1   2        1     1   25    1 14336
    1   1      3 12   1         1   2        5     1   25    1  6810
    6   2      1 25   1         1   2        1    43   25    1 14465
    1   2      4  6   1         1   2        9     1   37    1  2486
    1   2      4  6   1         1   2        9     1   19    1  3522
    1   1      4 15   1         1   2        9     1   29    1  9533
    1   2      4 41   1         1   2        9     1   41    1 24106
    9   1      4 41   1         1   2        9    68   41    1 24067
    9   2      4 41   1         1   2        9    68   41    1 23956
    1   1      4 53   1         1   2        9     1   53    1 31456
    1   2      4 53   1         1   2        9     1   53    1 31524
    1   2      4 53   1         1   2        9     1   53    1 31544
    1   1      4 53   1         1   2        9     1   53    1 31349
    1   1      4 53   1         1   2        9     1   53    1 31503
    1   2      3 13   1         1   2        5     1   53    1  8754
    8   2      4 53   1         1   2        9    67   53    1 31319
    9   1      4 53   1         1   2        9    68   53    1 31020
    9   1      4 53   1         1   2        9    68   53    1 31355
    9   2      4 53   1         1   2        9    68   53    1 31448
    1   2      1 25   1         1   2        1     1   24    1 14609
    1   2      3 12   1         1   1        5     1   24    1  7506
    1   1      3 24   1         1   2        5     1   24    1 13942
    2   1      3 51   1         1   2        5     2   24    1 30183
    2   1      3 13   1         1   2        5     2   24    1  8812
    6   2      3 24   1         1   2        5    43   24    1 13877
    9   2      3 45   1         1   1        5    68   24    1 25982
    9   1      3 51   1         1   1        5    68   24    1 30279
    1   2      1  9   1         1   2        1     1    9    1  6237
    1   1      1  9   1         1   2        1     1    9    1  6381
    1   2      1  9   1         1   2        1     1    9    1  6253
    1   2      1  9   1         1   2        1     1    9    1  6256
    1   1      1  9   1         1   2        1     1   45    1  6122
    1   2      3 12   1         1   1        5     1   45    1  6919
    1   1      3 45   1         1   2        5     1   45    1 25969
    2   2      3 45   1         1   2        5     2   45    1 25860
    3   1      3 45   1         1   2        5     5   45    1 25743
    1   2      1 23   1         1   2        1     1   23    1 13474
    1   2      1 23   1         1   2        1     1   23    1 13418
    1   2      4 32   1         1   2        8     1   55    1 17718
    1   1      3 12   1         1   1        5     1   55    1  6868
    1   2      4 49   1         1   2        8     1   16    1 29959
    1   1      4 16   1         1   1        8     1   16    1  9747
    1   1      4 16   1         1   2        8     1   16    1  9839
    1   2      4 16   1         1   2        8     1   16    1  9857
    1   1      4 16   1         1   2        8     1   31    1  9720
    1   2      3 51   1         1   2        5     1   31    1 30576
    1   2      3 28   1         1   1        6     1   21    1 16468
    1   2      3 21   1         1   2        6     1   21    1 12696
    1   2      3 21   1         1   2        6     1   21    1 12634
    1   1      3 21   1         1   2        6     1   21    1 12516
    1   2      3 21   1         1   2        6     1   21    1 12525
    1   1      3 21   1         1   2        6     1   21    1 12571
    1   1      3 21   1         1   2        6     1   47    1 12757
    2   2      4  6   1         1   2        9     2   47    1  2066
    1   2      3 12   1         1   2        5     1   17    1  6752
    1   1      3 12   1         1   2        5     1   17    1  6725
    1   1      3 24   1         1   2        5     1   17    1 13828
    1   2      3 45   1         1   2        5     1   17    1 26050
    8   1      1 42   1         1   2        2    67   17    1 25498
    1   2      3 12   1         1   2        5     1   39    1  6920
    1   1      3 12   1         1   2        5     1   39    1  8011
    1   2      3 51   1         1   2        5     1   39    1 30117
    1   1      3 24   1         1   2        5     1   11    1 14040
    1   1      3 24   1         1   2        5     1   27    1 13627
    1   1      3 51   1         1   2        5     1   27    1 30406
    1   1      3 51   1         1   2        5     1   51    1 30377
    2   1      3 48   1         1   2        7     2   51    1 28793
    2   2      3 51   1         1   2        5     2   51    1 30617
    8   1      1 42   2         1   2        2    67   72    2 25030
    9   2      1 34   2         1   2        2    68   72    2 18064
    8   1      3  5   1         1   2        7    67    4    1  1442
    8   1      4 35   1         1   2        8    67    4    1 19005
    8   2      4 32   1         1   2        8    67   32    1 17820
    6   2      4  8   1         1   2        8    43    8    1  5517
    9   1      4  8   1         1   1        8    68    8    1  5925
    9   1      4 53   2         1   2        9    68   66    2 30935
    9   1      3 12   1         1   1        5    68   54    1  7443
    9   2      3 45   1         1   2        5    68   15    1 26184
    6   1      4 15   1         1   1        9    45   15    1  9525
