RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB,ID
1,2,2,17,1,1,2,3,1,17,1,10339
9,2,3,48,1,1,2,7,68,48,1,27732
2,1,1,36,1,1,2,2,2,36,1,19661
1,1,1,9,1,1,2,1,1,45,1,6122
1,1,1,36,1,1,1,2,1,36,1,19213
1,1,2,29,1,1,2,4,1,29,1,16922
9,1,1,36,1,1,2,2,68,36,1,20076
2,2,3,13,1,1,2,5,2,13,1,9398
1,1,1,42,1,1,2,2,1,42,1,25182
1,1,3,24,1,1,2,2,1,18,1,13563
2,2,4,13,1,1,2,8,2,51,1,1214
2,2,1,48,1,1,2,2,2,34,1,18615
2,1,3,37,1,1,2,5,2,36,1,21265
2,1,3,13,1,1,2,5,2,36,1,8582
8,1,1,42,2,1,2,2,67,72,2,25030
1,2,2,20,1,1,2,4,1,20,1,12306
1,2,2,26,1,1,2,3,1,26,1,15319
1,2,2,18,1,1,2,3,1,18,1,11369
8,1,4,35,1,1,2,8,67,4,1,19005
9,1,4,53,1,1,2,9,68,53,1,31020
1,2,2,26,1,1,2,3,1,26,1,14875
2,1,2,26,1,1,2,3,2,26,1,15351
6,2,1,25,1,1,2,1,43,25,1,14465
1,1,3,48,1,1,2,7,1,48,1,27688
1,2,1,50,1,1,2,9,1,9,1,30043
1,2,3,1,1,1,2,6,1,13,1,97
1,1,2,20,1,1,2,4,1,20,1,12275
1,1,3,12,1,1,1,5,1,36,1,8259
1,2,3,51,1,1,2,5,1,39,1,30117
3,2,4,4,1,1,2,8,18,4,1,739
1,1,2,27,1,1,2,4,1,27,1,15950
1,2,4,48,1,1,2,7,1,48,1,28834
1,2,3,5,1,1,2,7,1,35,1,1504
1,1,3,47,1,1,2,6,1,18,1,26362
2,2,3,45,1,1,2,5,2,28,1,25908
1,1,3,10,1,1,1,5,1,36,1,6515
1,2,3,12,1,1,2,5,1,17,1,6752
9,1,3,47,2,1,2,6,68,72,2,26916
1,2,2,17,1,1,2,3,1,18,1,10649
9,2,3,45,1,1,1,5,68,24,1,25982
1,2,1,23,1,1,2,1,1,23,1,13474
1,2,3,8,1,1,2,7,1,22,1,13315
1,2,2,29,1,1,2,4,1,29,1,16915
1,2,3,28,1,1,1,6,1,21,1,16468
2,2,3,24,1,1,2,7,2,24,1,13931
9,1,4,6,1,1,2,9,68,6,1,1834
1,2,3,8,1,1,2,5,1,12,1,7737
2,2,3,45,1,1,2,5,2,45,1,25860
1,2,9,45,1,1,2,7,1,29,1,13041
9,1,3,30,1,1,2,5,68,12,1,7324
8,1,3,5,1,1,2,4,67,37,1,21259
3,1,3,45,1,1,2,5,5,45,1,25743
1,1,1,36,1,1,2,2,1,36,1,19247
2,2,3,22,1,1,2,7,2,22,1,13014
1,2,2,18,1,1,2,3,1,18,1,11547
9,2,4,32,1,1,2,2,68,32,1,17636
9,1,2,39,1,1,1,3,68,39,1,22875
1,2,3,47,1,1,2,6,1,24,1,26969
1,2,4,39,1,1,2,3,1,39,1,23091
1,2,3,48,1,1,2,0,1,51,1,27803
1,1,4,6,1,1,2,9,1,18,1,2104
1,1,1,34,1,1,2,2,1,34,1,18609
1,1,1,36,1,1,1,2,1,36,1,19293
2,1,1,36,1,1,2,2,2,36,1,19260
1,2,3,12,1,1,2,5,1,39,1,6920
1,1,4,6,1,1,2,9,1,6,1,4663
2,1,4,6,1,1,2,9,2,6,1,4723
1,2,2,29,1,1,2,4,1,29,1,16952
1,2,4,35,1,1,1,8,1,35,1,19064
9,1,4,8,1,1,1,8,68,8,1,5925
1,1,3,24,1,1,2,5,1,24,1,13942
1,1,2,39,1,1,1,3,1,53,1,22531
2,1,2,20,1,1,2,4,2,5,1,12234
1,2,2,26,1,1,2,3,1,26,1,15091
1,2,2,27,1,1,2,4,1,27,1,15887
1,1,1,9,1,1,2,1,1,9,1,6381
1,2,2,20,1,1,1,4,1,20,1,12300
1,2,2,27,1,1,2,0,1,17,1,16088
1,1,2,39,1,1,1,3,1,39,1,22377
1,2,1,42,1,1,2,2,1,42,1,24793
1,2,2,39,1,1,2,3,1,39,1,23032
1,2,1,25,1,1,2,1,1,24,1,14609
1,1,3,48,1,1,2,6,1,1,1,358
8,1,1,42,1,1,2,2,67,17,1,25498
9,1,4,53,1,1,2,9,68,53,1,31355
1,1,2,26,1,1,2,3,1,27,1,15538
1,1,3,24,1,1,2,5,1,17,1,13828
1,2,3,12,1,1,2,5,1,12,1,7704
1,1,2,29,1,1,2,4,1,20,1,17130
2,2,2,17,1,1,2,3,2,17,1,10301
1,2,2,55,1,1,2,3,1,42,1,31981
1,2,2,39,1,1,2,3,1,39,1,22771
3,1,9,35,1,1,2,8,17,35,1,19087
1,2,1,36,1,1,2,2,1,36,1,19666
9,1,4,6,1,1,2,9,68,48,1,4359
1,2,3,45,1,1,2,5,1,17,1,26050
